               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04614,            0.021387,           0.0012044,             0.73093,             0.72758,             0.74987,             0.43682,            0.045352,             0.01888,           0.0018158,           0.0096634,           0.0096634,           0.0096634
                  36,            0.046446,            0.021484,           0.0012003,             0.72673,             0.66456,             0.72747,             0.42589,            0.046741,            0.019831,           0.0018297,           0.0096535,           0.0096535,           0.0096535
                  37,             0.04605,            0.021303,           0.0012205,             0.75826,             0.74961,             0.77999,             0.46426,            0.044829,            0.018643,           0.0016203,           0.0096436,           0.0096436,           0.0096436
                  38,            0.045668,             0.02167,           0.0013385,             0.73962,               0.658,             0.70816,             0.41654,            0.047478,            0.019997,           0.0018939,           0.0096337,           0.0096337,           0.0096337
                  39,            0.045793,            0.020928,           0.0012044,             0.70115,             0.72512,              0.7396,             0.42095,            0.044341,            0.018779,           0.0017862,           0.0096238,           0.0096238,           0.0096238
                  40,            0.045836,            0.021255,           0.0011661,             0.75891,             0.67247,             0.74175,             0.45044,            0.044538,            0.018765,           0.0016264,           0.0096139,           0.0096139,           0.0096139
                  41,            0.045591,            0.021167,           0.0013954,             0.80196,             0.72978,              0.7804,             0.48062,            0.044468,            0.018568,           0.0016879,            0.009604,            0.009604,            0.009604
                  42,            0.044601,            0.021118,           0.0012138,              0.7584,             0.71253,              0.7663,             0.45907,            0.044863,             0.01867,           0.0016568,           0.0095941,           0.0095941,           0.0095941
                  43,            0.045411,            0.021335,           0.0011157,             0.76865,             0.72833,             0.77289,             0.46688,            0.044658,            0.018727,           0.0017502,           0.0095842,           0.0095842,           0.0095842
                  44,             0.04445,            0.021098,           0.0013007,             0.79368,             0.71246,             0.77117,             0.45659,            0.044764,            0.018869,           0.0014918,           0.0095743,           0.0095743,           0.0095743
